Dependency,Count
@pixi/core,37
call-bound,33
es-errors,27
vue,21
call-bind,19
@pixi/display,18
get-intrinsic,17
@algolia/client-common,13
gopd,13
define-properties,11
has-tostringtag,11
@pixi/sprite,11
strip-ansi,11
@vue/shared,10
@types/unist,10
@algolia/requester-browser-xhr,10
@algolia/requester-fetch,10
@algolia/requester-node-http,10
es-object-atoms,9
ansi-regex,9
has-symbols,8
@shikijs/types,8
get-proto,8
@pixi/assets,8
domelementtype,7
domhandler,7
@pixi-spine/base,7
@types/hast,6
hasown,6
is-typed-array,6
debug,6
vite,6
@pixi/mesh,6
object-keys,5
es-define-property,5
isarray,5
has-property-descriptors,5
entities,5
tslib,5
string-width,5
object-inspect,5
@pixi/graphics,5
tinyrainbow,5
magic-string,5
ansi-styles,5
@shikijs/vscode-textmate,5
which-typed-array,5
for-each,4
postcss,4
is-data-view,4
pathe,4
@vueuse/shared,4
is-regex,4
source-map-js,4
@pixi/mesh-extras,4
color-name,4
color-convert,4
is-callable,4
supports-color,4
safe-regex-test,4
domutils,4
lodash,4
@pixi/text,4
emoji-regex,4
call-bind-apply-helpers,4
webidl-conversions,4
commander,4
es-abstract,4
is-array-buffer,4
iconv-lite,4
define-data-property,4
@csstools/css-tokenizer,4
function-bind,4
available-typed-arrays,3
@ctrl/tinycolor,3
lodash-es,3
@shikijs/core,3
istanbul-lib-coverage,3
chalk,3
@csstools/css-parser-algorithms,3
@jridgewell/sourcemap-codec,3
has-flag,3
has-proto,3
@algolia/autocomplete-shared,3
dunder-proto,3
math-intrinsics,3
@babel/parser,3
less,3
algoliasearch,3
@algolia/client-search,3
sass-embedded,3
is-fullwidth-code-point,3
async-validator,3
semver,3
brace-expansion,3
estree-walker,3
minimatch,3
@vue/compiler-dom,3
core-js,3
@jridgewell/trace-mapping,3
which-boxed-primitive,3
@pixi/extensions,3
side-channel,3
@vueuse/metadata,3
array-buffer-byte-length,3
parse5,3
@pixi/settings,3
@types/web-bluetooth,3
@pixi/constants,3
regenerator-runtime,3
is-string,3
is-date-object,3
@babel/runtime,3
@vueuse/core,3
@vitest/pretty-format,3
tr46,3
dayjs,3
punycode,3
whatwg-url,3
@vitest/utils,3
@vitest/spy,3
axios,2
esbuild,2
@esbuild/aix-ppc64,2
@esbuild/android-arm,2
@shikijs/engine-javascript,2
@types/lodash,2
@esbuild/android-arm64,2
mime,2
is-weakref,2
@pixi-spine/runtime-3.8,2
rollup,2
@esbuild/win32-arm64,2
vitest,2
@ant-design/colors,2
@esbuild/win32-ia32,2
jsdom,2
@esbuild/win32-x64,2
@esbuild/sunos-x64,2
@esbuild/android-x64,2
@esbuild/openbsd-x64,2
rrweb-cssom,2
@shikijs/engine-oniguruma,2
vue-demi,2
csstype,2
regex-utilities,2
@types/lodash-es,2
is-what,2
@esbuild/darwin-arm64,2
possible-typed-array-names,2
safe-push-apply,2
@esbuild/freebsd-arm64,2
escape-string-regexp,2
@esbuild/linux-arm,2
function.prototype.name,2
@esbuild/linux-arm64,2
@docsearch/css,2
search-insights,2
@esbuild/linux-ia32,2
@types/estree,2
typed-array-buffer,2
@esbuild/linux-loong64,2
typed-array-byte-offset,2
@esbuild/linux-mips64el,2
reflect.getprototypeof,2
es-set-tostringtag,2
xml-name-validator,2
@esbuild/linux-ppc64,2
@esbuild/linux-riscv64,2
@esbuild/linux-s390x,2
agent-base,2
@esbuild/linux-x64,2
whatwg-encoding,2
@esbuild/netbsd-x64,2
safer-buffer,2
@esbuild/darwin-x64,2
copy-anything,2
@esbuild/freebsd-x64,2
whatwg-mimetype,2
@floating-ui/utils,2
lru-cache,2
@pixi-spine/runtime-3.7,2
@babel/types,2
is-set,2
is-shared-array-buffer,2
dom-serializer,2
object.assign,2
regexp.prototype.flags,2
functions-have-names,2
side-channel-map,2
chai,2
has-bigints,2
is-symbol,2
which-collection,2
css-what,2
boolbase,2
@vue/compiler-sfc,2
@vue/compiler-core,2
@vue/compiler-ssr,2
focus-trap,2
markdown-it-mathjax3,2
internal-slot,2
is-map,2
@vue/devtools-api,2
is-arguments,2
@pixi-spine/runtime-4.1,2
@pixi-spine/loader-base,2
@vue/reactivity,2
compute-scroll-into-view,2
resize-observer-polyfill,2
scroll-into-view-if-needed,2
